date,confidence
2010/4/1,100.9498
2010/5/1,100.9878
2010/6/1,100.8862
2010/7/1,100.7258
2010/8/1,100.5375
2010/9/1,100.3108
2010/10/1,100.1494
2010/11/1,100.1149
2010/12/1,100.1695
2011/1/1,100.2841
2011/2/1,100.4218
2011/3/1,100.5307
2011/4/1,100.5639
2011/5/1,100.4036
2011/6/1,100.1663
2011/7/1,99.95255
2011/8/1,99.77974
2011/9/1,99.6503
2011/10/1,99.4603
2011/11/1,99.24655
2011/12/1,99.10633
2012/1/1,99.07818
2012/2/1,99.20621
2012/3/1,99.34341
2012/4/1,99.39834
2012/5/1,99.31037
2012/6/1,99.10716
2012/7/1,98.84275
2012/8/1,98.65085
2012/9/1,98.48463
2012/10/1,98.38353
2012/11/1,98.33977
2012/12/1,98.39936
2013/1/1,98.55602
2013/2/1,98.80399
2013/3/1,98.98137
2013/4/1,99.12177
2013/5/1,99.16445
2013/6/1,99.11379
2013/7/1,98.99651
2013/8/1,98.91241
2013/9/1,98.96426
2013/10/1,99.04204
2013/11/1,99.07098
2013/12/1,99.08365
2014/1/1,99.15349
2014/2/1,99.2698
2014/3/1,99.3428
2014/4/1,99.34963
2014/5/1,99.22393
2014/6/1,99.03632
2014/7/1,98.89529
2014/8/1,98.83502
2014/9/1,98.84396
2014/10/1,98.85016
2014/11/1,98.8997
2014/12/1,99.03809
2015/1/1,99.22321
2015/2/1,99.37434
2015/3/1,99.37436
2015/4/1,99.21847
2015/5/1,98.86424
2015/6/1,98.53742
2015/7/1,98.41159
2015/8/1,98.41038
2015/9/1,98.44571
2015/10/1,98.49397
2015/11/1,98.48572
2015/12/1,98.40731
2016/1/1,98.34663
2016/2/1,98.34667
2016/3/1,98.46622
2016/4/1,98.62986
2016/5/1,98.69588
2016/6/1,98.70479
2016/7/1,98.7009
2016/8/1,98.68591
2016/9/1,98.66034
2016/10/1,98.67591
2016/11/1,98.74877
2016/12/1,98.84385
2017/1/1,98.98943
2017/2/1,99.14455
2017/3/1,99.27831
2017/4/1,99.28966
2017/5/1,99.21096
2017/6/1,99.12164
2017/7/1,99.07701
2017/8/1,99.08517
2017/9/1,99.11414
2017/10/1,99.15865
2017/11/1,99.17374
2017/12/1,99.14264
2018/1/1,99.02415
2018/2/1,98.89629
2018/3/1,98.81234
2018/4/1,98.85385
2006/9/1,100.9898
2006/10/1,101.1521
2006/11/1,101.2782
2006/12/1,101.1696
2007/1/1,101.1193
2007/2/1,101.2379
2007/3/1,101.5524
2007/4/1,101.8875
2007/5/1,101.9337
2007/6/1,101.886
2007/7/1,101.6478
2007/8/1,101.2295
2007/9/1,100.9229
2007/10/1,100.8258
2007/11/1,100.7653
2007/12/1,100.7145
2008/1/1,100.5493
2008/2/1,100.435
2008/3/1,100.4323
2008/4/1,100.3245
2008/5/1,99.97166
2008/6/1,99.43367
2008/7/1,98.98852
2008/8/1,98.58476
2008/9/1,98.07927
2008/10/1,97.2898
2008/11/1,96.34042
2008/12/1,95.54391
2009/1/1,95.16422
2009/2/1,94.89414
2009/3/1,94.63143
2009/4/1,94.7334
2009/5/1,95.17836
2009/6/1,95.75177
2009/7/1,96.4743
2009/8/1,96.9614
2009/9/1,97.29496
2009/10/1,97.80465
2009/11/1,98.42613
2009/12/1,99.11793
2010/1/1,99.75065
2010/2/1,100.293
2010/3/1,100.546
2010/4/1,100.6224
2010/5/1,100.9807
2010/6/1,101.375
2010/7/1,101.5666
2010/8/1,101.9184
2010/9/1,102.1989
2010/10/1,102.107
2010/11/1,102.0618
2010/12/1,102.0971
2011/1/1,102.3533
2011/2/1,102.5
2011/3/1,102.5164
2011/4/1,102.354
2011/5/1,102.2067
2011/6/1,101.7798
2011/7/1,101.0759
2011/8/1,100.4064
2011/9/1,99.85072
2011/10/1,99.30346
2011/11/1,98.79054
2011/12/1,98.50581
2012/1/1,98.44613
2012/2/1,98.79189
2012/3/1,99.42402
2012/4/1,99.72192
2012/5/1,99.78265
2012/6/1,99.59636
2012/7/1,99.28876
2012/8/1,98.84464
2012/9/1,98.38352
2012/10/1,97.88554
2012/11/1,97.63667
2012/12/1,97.68926
2013/1/1,97.88748
2013/2/1,98.26162
2013/3/1,98.46276
2013/4/1,98.48989
2013/5/1,98.39304
2013/6/1,98.5174
2013/7/1,98.72241
2013/8/1,98.94373
2013/9/1,99.08389
2013/10/1,99.47732
2013/11/1,99.93619
2013/12/1,100.139
2014/1/1,100.1136
2014/2/1,99.92207
2014/3/1,99.81439
2014/4/1,99.82921
2014/5/1,99.72597
2014/6/1,99.87982
2014/7/1,100.2198
2014/8/1,100.5219
2014/9/1,100.6115
2014/10/1,100.764
2014/11/1,100.8804
2014/12/1,100.8301
2015/1/1,100.6696
2015/2/1,100.3732
2015/3/1,99.99396
2015/4/1,99.7046
2015/5/1,99.79356
2015/6/1,99.98091
2015/7/1,100.2072
2015/8/1,100.4779
2015/9/1,100.7651
2015/10/1,101.0715
2015/11/1,101.335
2015/12/1,101.7767
2016/1/1,102.0787
2016/2/1,101.9
2016/3/1,101.4524
